movieId,title
tt0000001,carmencita
tt0000002,carmencita-0002
tt0000003,carmencita-0003
tt0000004,carmencita-0004
tt0000005,carmencita-0005
tt0000006,carmencita-0006
tt0000007,carmencita-0007
tt0000008,carmencita-0008
tt0000009,carmencita-0009
tt0000010,carmencita-0010
tt0000011,carmencita-0011
tt0000012,carmencita-0012
tt0000013,carmencita-0013
tt0000014,carmencita-0014
tt0000015,carmencita-0015
tt0000016,carmencita-0016
tt0000017,carmencita-0017
tt0000018,carmencita-0018
tt0000019,carmencita-0019
tt0000020,carmencita-0020
tt0000021,carmencita-0021
tt0000022,carmencita-0022
tt0000023,carmencita-0023
tt0000024,carmencita-0024
tt0000025,carmencita-0025
tt0000026,carmencita-0026
tt0000027,carmencita-0027
tt0000028,carmencita-0028
tt0000029,carmencita-0029
tt0000030,carmencita-0030
tt0000031,carmencita-0031
tt0000032,carmencita-0032
tt0000033,carmencita-0033
tt0000034,carmencita-0034
tt0000035,carmencita-0035
tt0000036,carmencita-0036
tt0000037,carmencita-0037
tt0000038,carmencita-0038
tt0000039,carmencita-0039
tt0000040,carmencita-0040
tt0000041,carmencita-0041
tt0000042,carmencita-0042
tt0000043,carmencita-0043
tt0000044,carmencita-0044
tt0000045,carmencita-0045
tt0000046,carmencita-0046
tt0000047,carmencita-0047
tt0000048,carmencita-0048
tt0000049,carmencita-0049
tt0000050,carmencita-0050
tt0000051,carmencita-0051
tt0000052,carmencita-0052
tt0000053,carmencita-0053
tt0000054,carmencita-0054
tt0000055,carmencita-0055
tt0000056,carmencita-0056
tt0000057,carmencita-0057
tt0000058,carmencita-0058
tt0000059,carmencita-0059
tt0000060,carmencita-0060
tt0000061,carmencita-0061
tt0000062,carmencita-0062
tt0000063,carmencita-0063
tt0000064,carmencita-0064
tt0000065,carmencita-0065
tt0000066,carmencita-0066
tt0000067,carmencita-0067
tt0000068,carmencita-0068
tt0000069,carmencita-0069
tt0000070,carmencita-0070
tt0000071,carmencita-0071
tt0000072,carmencita-0072
tt0000073,carmencita-0073
tt0000074,carmencita-0074
tt0000075,carmencita-0075
tt0000076,carmencita-0076
tt0000077,carmencita-0077
tt0000078,carmencita-0078
tt0000079,carmencita-0079
tt0000080,carmencita-0080
tt0000081,carmencita-0081
tt0000082,carmencita-0082
tt0000083,carmencita-0083
tt0000084,carmencita-0084
tt0000085,carmencita-0085
tt0000086,carmencita-0086
tt0000087,carmencita-0087
tt0000088,carmencita-0088
